,Heading,Sub_Heading,Closing,Notice_status,Contract_location,Contract_value,Publication_date,Procurement_stage,Approach_to_market_date
118,Adult Learning Classroom Provision 2022 - 2025,Wirral Borough Council,,Open,Rest of the World,500000.0,2022-07-27 00:00:00,Future opportunity,2025-06-02 00:00:00
119,Mobile Telephony Services,Croydon Council,,Open,England,100000.0,2022-07-27 00:00:00,Future opportunity,2024-08-01 00:00:00
120,Wiltshire Council Passenger Transport  DPS Sept 2017,Wiltshire Council,2022-11-30 00:00:00,Open,England,110000000.0,2019-09-18 00:00:00,Opportunity,
121,London and Quadrant Housing Trust - Combined Mechanical and Electrical Dynamic Purchase System (DPS),L&Q Construction,2024-12-23 18:00:00,Open,E15 4PH,0.0,2020-12-23 00:00:00,Opportunity,
122,Support to Live at Home (STLAH) Framework,Barnsley Metropolitan Borough Council,2027-06-30 12:00:00,Open,Yorkshire and the Humber,30152152.5,2022-08-10 00:00:00,Opportunity,
123,PLACE060 Ad Hoc Taxi Provisions Soft Market Engagement,Derbyshire County Council,2022-11-10 00:00:00,Open,England,,2022-08-10 00:00:00,Early engagement,
124,CA10921 - The Ferrars Academy,The Ferrars Academy,2022-11-21 12:00:00,Open,LU4 0LL,0.0,2022-08-10 00:00:00,Opportunity,
125,Cambridgeshire County Council Early Years Market Position Statement,LGSS,2023-03-31 00:00:00,Open,East of England,,2022-03-29 00:00:00,Early engagement,
126,FCA Service Desk and End User Compute (EUC) Services,Financial Conduct Authority,2023-06-30 00:00:00,Open,Any region,105000000.0,2022-08-09 00:00:00,Opportunity,
127,Tourniquet,NHS Supply Chain,,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",18180000.0,2022-08-08 00:00:00,Future opportunity,2023-03-14 00:00:00
128,Expression of Interest - CIRAS Reporting App,BIP SOLUTIONS LIMITED,2022-11-14 00:00:00,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",0.0,2022-08-05 00:00:00,Opportunity,
129,Centre for Advancing Practice Portal Development 23-28,HEE,2023-03-31 12:00:00,Open,United Kingdom,330000.005,2022-08-04 00:00:00,Opportunity,
130,Postal Services & Solutions,Crown Commercial Service,,Open,United Kingdom,1600000000.0,2022-08-04 00:00:00,Future opportunity,2023-02-22 00:00:00
131,North Forest District Planting and Forest Management DPS,Forestry England,2030-08-02 12:00:00,Open,Any region,10000000.0,2022-08-03 00:00:00,Opportunity,
132,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2022-03-17 00:00:00,Future opportunity,2025-02-01 00:00:00
133,NHS Framework Agreement for the Supply of Human Normal Immunoglobulin & Anti-D Immunoglobulin,NHS ENGLAND,,Open,"England, Scotland, Northern Ireland, Isle of Man, Channel Islands",526598540.0,2021-09-14 00:00:00,Future opportunity,2023-08-01 00:00:00
134,Fresh Food DPS,NHS Supply Chain,2029-02-28 15:00:00,Open,Any region,200000000.0,2022-08-02 00:00:00,Opportunity,
